"Address","Content Type","Size (Bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-281.png","image/png","1715","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-278-2.png","image/png","2682","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/1-Karan-Shah-IIDE.png","image/png","0","28","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/04/Digital-PR-for-B2B_-How-to-Earn-Links-from-Industry-Publications-2-400x250.png","image/png","0","4","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-379-5.png","image/png","1043","342","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-280-1.png","image/png","4649","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2025/09/image.png","image/png","4962","24","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-2390-53.png","image/png","1087","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-277.png","image/png","1349","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-279-2.png","image/png","3243","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/04/3-Yash-Chandiramani-Admatazz.png","image/png","0","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/3-Yash-Chandiramani-Admatazz.png","image/png","0","28","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-379-10.png","image/png","890","342","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/11-Jessica-Chheda-JS-Diamonds-Inc.png","image/png","0","28","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2025/09/image-1.png","image/png","5556","24","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-276-1.png","image/png","3865","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/04/5-Mihir-Lunia-Brego-Business.png","image/png","0","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-2390.png","image/png","2269","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-3460.png","image/png","805","684","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-42-2.png","image/png","0","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2025/08/Frame-2390-1.png","image/png","2060","20","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-277-2.png","image/png","2940","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Mask-group-8.png","image/png","570","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-379-7.png","image/png","899","342","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/2-Adarsh-Desai-Infinita-Biotech.png","image/png","0","28","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2025/09/image-3.png","image/png","6325","24","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/02/Frame-2414-1.png","image/png","32688","1","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/Frame-379-1.png","image/png","1062","342","Indexable","",""
"https://kerkarmedia.com/wp-content/uploads/2026/05/8-Krish-Sheth-GDB-Paint-Coatings.png","image/png","0","28","Indexable","",""
