"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://clutch.co/share/badges/1599519/86008?utm_source=clutch_top_company_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.081","",""
"https://clutch.co/share/badges/1599519/8518?utm_source=clutch_top_company_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.078","",""
"https://clutch.co/share/badges/1599519/71943?utm_source=clutch_top_company_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.111","",""
"https://clutch.co/share/badges/1599519/60873?utm_source=clutch_top_company_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.046","",""
"https://clutch.co/share/badges/1599519/12564?utm_source=clutch_top_company_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.096","",""
"https://clutch.co/share/badges/1599519/37073?utm_source=clutch_award_badge&utm_medium=image_embed","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","0","0.053","",""
"https://www.quora.com/profile/Kunal-Kerkar-3","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","80","0.021","",""
"https://kerkarmedia.com/b2b-seo-roi-calculator/seo-roi-calculator.js","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","0","3.378","",""
"https://kerkarmedia.com/off-page-seo-link-building-b2b-2026/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","6","2.297","",""
"https://kerkarmedia.com/keyword-research-for-b2b-2026/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","2.726","",""
"https://kerkarmedia.com/http-errors-seo-guide-404-410-500-503/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","2.666","",""
"https://kerkarmedia.com/canonical-tags-guide-duplicate-content-2026/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","3","2.787","",""
